attributes.Ambience.divey	attributes.RestaurantsDelivery	attributes.DogsAllowed	postal_code	hours.Thursday	attributes.HairSpecializesIn.coloring	attributes.BestNights.sunday	attributes.BYOB	attributes.AgesAllowed	attributes.Music.video	hours.Friday	latitude	attributes.Alcohol	attributes.Ambience.classy	attributes.RestaurantsTableService	business_id	attributes.Ambience.touristy	attributes.RestaurantsCounterService	attributes.Corkage	attributes.RestaurantsGoodForGroups	categories	name	attributes.BusinessAcceptsBitcoin	attributes.HappyHour	attributes.WheelchairAccessible	attributes.Ambience.hipster	attributes.BusinessAcceptsCreditCards	is_open	attributes.DietaryRestrictions.vegetarian	attributes.Music.live	attributes.Music.background_music	neighborhood	attributes.BusinessParking.lot	attributes.Music.karaoke	review_count	attributes.GoodForMeal.breakfast	attributes.NoiseLevel	attributes.HairSpecializesIn.perms	state	attributes.DriveThru	attributes.HasTV	attributes.GoodForMeal.dinner	attributes.BusinessParking.street	address	attributes.RestaurantsAttire	hours.Sunday	attributes.BestNights.tuesday	attributes.AcceptsInsurance	attributes.BestNights.wednesday	hours.Wednesday	attributes.HairSpecializesIn.kids	attributes.Open24Hours	attributes.Ambience.trendy	attributes.CoatCheck	hours.Monday	attributes.HairSpecializesIn.straightperms	city	attributes.HairSpecializesIn.curly	attributes.Music.no_music	hours.Tuesday	attributes.HairSpecializesIn.africanamerican	stars	attributes.RestaurantsPriceRange2	attributes.Ambience.intimate	attributes.GoodForMeal.latenight	attributes.GoodForMeal.dessert	attributes.BusinessParking.validated	attributes.GoodForMeal.lunch	attributes.GoodForKids	attributes.DietaryRestrictions.soy-free	attributes.GoodForMeal.brunch	attributes.BusinessParking.valet	longitude	attributes.DietaryRestrictions.gluten-free	attributes.BYOBCorkage	attributes.BusinessParking.garage	attributes.BestNights.friday	hours.Saturday	attributes.Music.dj	attributes.HairSpecializesIn.extensions	attributes.BestNights.saturday	attributes.Ambience.casual	attributes.BestNights.thursday	attributes.BestNights.monday	attributes.HairSpecializesIn.asian	attributes.DietaryRestrictions.kosher	attributes.WiFi	attributes.Smoking	attributes.DietaryRestrictions.halal	attributes.GoodForDancing	attributes.ByAppointmentOnly	attributes.Caters	attributes.RestaurantsReservations	attributes.DietaryRestrictions.dairy-free	attributes.DietaryRestrictions.vegan	attributes.Ambience.romantic	attributes.Music.jukebox	attributes.Ambience.upscale	attributes.RestaurantsTakeOut	attributes.BikeParking	attributes.OutdoorSeating
			44143	10:00-21:00						10:00-21:00	41.5417162				YDf95gJZaq05wvo7hTQbbQ					[u'Shopping', u'Shopping Centers']	Richmond Town Square			True			1					True		17				OH				False	691 Richmond Rd		11:00-18:00				10:00-21:00					10:00-21:00		Richmond Heights			10:00-21:00		2.0	2				False					False	-81.4931165			False		10:00-21:00																						True	
False	True		28215	10:00-22:00						10:00-22:00	35.23687		False		mLwM-h2YhXl2NCgdS84_Bw	False			True	[u'Food', u'Soul Food', u'Convenience Stores', u'Restaurants']	South Florida Style Chicken & Ribs				False	False	0				Eastland			4	False	average		NC		False	False		2824 Milton Rd	casual	10:00-22:00				10:00-22:00			False		10:00-22:00		Charlotte			10:00-22:00		4.5	2	False	False	False		False	True		False		-80.7419759					10:00-22:00				False											False			False		False	True		False
			M4K 1N7	10:00-19:00						10:00-19:00	43.6771258				v2WhjAB3PIBA8J8VxG3wEg					[u'Food', u'Coffee & Tea']	The Tea Emporium			True		True	0				Riverdale	False		7				ON				True	337 Danforth Avenue		12:00-17:00				10:00-19:00					10:00-19:00		Toronto			10:00-19:00		4.5	2				False					False	-79.3532848			False		10:00-18:00									no													True	False
			85258	9:00-17:00						9:00-17:00	33.5650816				CVtCbSB1zUcUWg-9TNGTuQ					[u'Professional Services', u'Matchmakers']	TRUmatch						1							3				AZ					7702 E Doubletree Ranch Rd, Ste 300						9:00-17:00					9:00-17:00		Scottsdale			9:00-17:00		3.0											-111.9164003																												
False	False		85016								33.5059283	none	False	False	duHFBe87uNSXImQmvBh87Q	False			True	[u'Sandwiches', u'Restaurants']	Blimpie				False	True	0					False		10	False	quiet		AZ		False	False	False	4719 N 20Th St	casual								False				Phoenix					4.5	1	False	False	False	False	False	True		False	False	-112.0388474			False						False					no					True	False			False		False	True	True	False
			85016	10:00-20:00						10:00-21:00	33.5080678				uUEMrhJiL1a1pCA_I1SU7Q					[u'Shopping', u'Tobacco Shops']	Baxter's Cigars					True	0					True		35				AZ				False	2017 E Camelback Rd		10:00-19:00				10:00-20:00					10:00-20:00		Phoenix			10:00-20:00		5.0	2				False					False	-112.0375524			False		10:00-21:00																						True	
			85016	14:00-19:00						9:00-12:00	33.5028476				2eJEUJIP54tex7T9YOcLSw					[u'Chiropractors', u'Health & Medical']	Back-Health Chiropractic					True	1							19				AZ					4425 N 24th St, Ste 125				True		14:30-17:00					14:30-17:00		Phoenix			14:00-19:00		5.0											-112.012696																		True										
			15201	8:00-17:00						8:00-17:00	40.4859391				fEylCY3UEH8YJ0Xa7lu6lA					[u'Automotive', u'Oil Change Stations', u'Car Wash', u'Auto Detailing']	Auto Bathouse					True	1				Lawrenceville			16				PA					5770 Butler St		8:00-16:30				8:00-17:00					8:00-17:00		Pittsburgh			8:00-17:00		2.5											-79.9437273					8:00-17:00																							
		True	15317	10:00-20:00						10:00-18:00	40.2904976				kFtuYklkAIlmYw8RZAieGw					[u'Jewelry Repair', u'Gold Buyers', u'Local Services', u'Shopping', u'Appraisal Services', u'Jewelry']	JAB Jewelry Designs			True		True	1					True		7				PA				False	3220 Washington Rd						10:00-20:00					10:00-18:00		McMurray			10:00-18:00		5.0	2				False					False	-80.1100212			False		10:00-16:00													False									True	
			85296	7:30-17:00						7:30-11:00	33.3245392				NqiQdFa93wzUJGo29NbTPQ					[u'Health & Medical', u'Optometrists']	Neighborhood Vision Center					True	1							8				AZ					1425 S Higley Rd, Ste 103				True		7:30-17:00					7:30-17:00		Gilbert			7:30-17:00		5.0											-111.7204486																		True										
