funny	user_id	review_id	text	business_id	stars	date	useful	cool
0	jgzD7eBwZrasqy6wUy122w	BLIJFaJZ-_fOcBs16fL_6g	Loved, Loved, Loved. It is a simple place, but you dont come to this place for the decor. You come for the damn good food. Please note* I am just a customer. There is no dicount for posting nor any compensation for this rating.	OQcvO5P3gH0cuJ-bPXwfQQ	5	2017-04-01	0	0
0	2v_meK453YAWXz4NjJ9abA	VuKbGklNbOESJSx76_EjyA	Is a small restaurant food is good! Also the owners are very friendly they make sure u are satisfied!	OQcvO5P3gH0cuJ-bPXwfQQ	5	2016-11-05	0	0
0	cdFWtOgA1PAkNYkiwzUJbQ	HBaAmcS9zp5rY1qiMuWygA	Best Mexican restaurant in Vegas. Meat is super soft and very tasty. Fried fish is delicious. Salsa is so yummy! Very friendly service.	OQcvO5P3gH0cuJ-bPXwfQQ	5	2017-06-01	1	0
0	60ENRcuFKNf9oeA2zWROFQ	41ORR2OPi2CP0FAoiWjwWA	I  would've like to take a before picture when it looked all nice and pretty, but it was so delicious I just couldn't wait. I had the chicken chimichanga and my friend had of the chicken burrito supreme. I will never visit Robertos, Pepe's tacos, etc. again. #obsessed	OQcvO5P3gH0cuJ-bPXwfQQ	5	2017-07-16	1	0
42	Fv0e9RIV9jw5TX3ctA1WbA	Oxz26pqpIb7dDVeuUzNZlg	We had originally planned on eating at the Sinaloa food truck across the street, but they had a really long line, so we decided to give Mi Pueblo Taco Shop a try. Walking inside I was greeted by a sweet young girl who also took my order and she was nice about going over the menu and what the specials included. Inside was clean and decorated nicer than I expected. There was also a good amount of customers eating inside which I took as a good sign. I noticed they had different daily specials on the windows out front and they are totally worth checking out. I was here on a Friday and the special that day is 2 enchiladas, beans, rice and a drink all for $5.95 before tax. Great deal! The rice was lacking a bit on flavor and while the beans could have used more cheese, they did taste good and I liked the few tortilla chips on top of them. The enchiladas had a decent amount of cheese inside and the sauce tasted good. I'd for sure come back for this special again.Al Pastor Taco ($1.75) - The tacos come meat, onion and cilantro. There's a salsa bar with veggies and containers. I grabbed some of the red and green sauce and favored the green. My taco was filled nicely and had great flavor. Carne Asada Burrito ($5.99) - Here's where things got odd for me. Hubby and I intended to share this and he always prefers just meat, cheese and sour cream in his burritos. The girl who took our order said he couldn't have it that way and that the burrito had to have beans and rice inside. If the burritos aren't pre-made this shouldn't be a hard request at all. I saw a different girl putting meat on the grill and then put the burrito together, so I can't figure out why the burrito couldn't be customized to have the rice and beans left off. The burrito was a nice size for the price and did taste good, but it would have been better enjoyable if it could have been made the way preferred. Great weekly deals and decent Mexican food. I'd come back.	OQcvO5P3gH0cuJ-bPXwfQQ	4	2017-06-20	66	67
0	UKFgwgNM1a7Gmr0UIGPzpw	JGIVj26nGtLgzsL4zeaP2Q	One of the few times I have given a business five stars. This restaurant has very good food everything on the menu is fresh and very very tasty. I've been to this restaurant probably 10 to 15 times and have never had a bad meal. Is the owner and staff of this restaurant are very nice and courteous and provide a good service and excellent food. I highly recommend this place for anything Mexican on their menu you will not be disappointed.	OQcvO5P3gH0cuJ-bPXwfQQ	5	2016-06-12	1	1
1	LnGDsxHFPhoCKT8sFGaViA	w3ezGmzYbucBCNB66ilE4Q	Las Vegas does not have a lot of good Mexican food unfortunately. So, when we do find one, it's always pretty exciting. This place was good. Reminded me a little of Texas, in terms of quality. Enchilada was very tasty, great sauce. Rice and beans were both delicious. Chile Relleno needed a tiny bit more flavor, but had plenty of cheese. Great little salsa bar. Had a bite of gf's Huevos Rancheros and we agreed that they were pretty awesome. We'll be back soon.	OQcvO5P3gH0cuJ-bPXwfQQ	4	2015-08-01	4	2
0	E1b2_YD1uwufHmCsrKteCw	wM9a-pB0MSnyIJ4eMmXBUw	Trying to curb my taco cravings, checked yelp for a taco spot not too far from the house, when I came across the review for Mi Pueblo Taco Shop and they have a perfect 5star rating. I haven't got my food yet, but the smell coming out the kitchen is amazing. It's a Friday night in Vegas, at a hole in the wall taco shop. The single file line is out the door.....Now that's a recipe for GREAT Mexican food	OQcvO5P3gH0cuJ-bPXwfQQ	5	2017-03-11	0	0
0	JoATwObKNywEmAduyKdm6w	fEpol5iWEiqKdbrIuHOc3A	My daughter and I stopped in yesterday and truly enjoyed our meal. So much so we added an order to go. Just might have to give up my usual taco spot!!!! Food was great. My only critic no chips and salsa before the meal and only gives you a couple chips stuck in the great beans!!! Also might look into making up paper menus. Nothing to take home to read. The service impeccable. Will be back for sure.	OQcvO5P3gH0cuJ-bPXwfQQ	5	2015-07-22	1	0
0	BYL1E668zAEJNimiFPSA-Q	rqCifVSFO9vNV9S97NoQng	The carnitas sopés are the best! Carne Asada tacos are in second place... I eat there at least twice a week, and it's fantastic every time!	OQcvO5P3gH0cuJ-bPXwfQQ	5	2017-05-24	1	1
